 Номер команды,Название,Город,Тур,1,2,3,4,5,6,7,8,9,10,11,12
75600,Be Humble,Санкт-Петербург,1,1,0,1,1,0,0,1,1,1,1,1,0
62868,Gay Guerrilla,сборная,1,0,0,1,0,1,0,1,1,0,0,1,1
72474,Шутка самсас,Мюнхен,1,1,1,1,1,1,0,0,0,0,1,0,0
85064,Гимназия имени Вудкока — Джонсон,Краков,1,1,0,1,1,1,1,1,1,0,0,0,0
71263,Превосходство расы фунфыриков,Минск,1,0,1,1,0,0,0,1,1,0,1,1,0
70746,Школа диско Копатыча,Москва,1,1,0,1,1,0,1,1,0,0,0,0,0
51739,Зоопарк,Минск,1,1,0,1,0,0,0,1,1,0,1,1,0
91946,Пробковый ноктурлабиум,Хельсинки,1,1,1,0,0,1,0,1,0,0,1,0,0
72078,Это легко,Барселона,1,1,0,1,1,0,0,1,0,0,1,0,0
27119,Легионеры Боливарии,Минск,1,1,1,1,1,0,1,1,0,0,1,0,0
86579,Половина Котаина,сборная,1,0,0,1,1,0,0,1,0,0,1,1,0
79988,Kapybarský Prazdroj,Лондон,1,0,1,1,1,0,0,1,0,0,0,1,0
50186,Подозрительные пассажиры,Минск,1,1,0,1,1,0,1,0,1,0,1,1,0
1703,МИД-2,сборная,1,1,0,1,1,0,0,1,0,0,0,0,0
79616,Омское метро,Минск,1,1,0,1,0,0,1,1,0,0,0,1,0
3951,Литий,Санкт-Петербург,1,1,1,1,0,0,0,1,1,0,1,0,0
2462,Мы,Ташкент,1,0,0,1,0,0,0,0,0,0,1,0,0
92677,Утка,Санкт-Петербург,1,1,0,1,0,0,0,0,1,0,1,0,0
80965,Олеги Литвы,сборная,1,0,1,1,0,0,0,0,1,0,1,0,0
28599,Такие дела,Ульяновск,1,1,0,1,0,0,0,0,0,0,1,1,0
68323,Моё сердце за мерло!,Минск,1,0,0,1,0,0,0,1,0,0,0,0,0
67543,Холодно и мокро,Санкт-Петербург,1,0,1,1,1,0,0,0,0,0,0,1,0
2909,Мистерия,Ташкент,1,0,1,1,0,0,1,1,0,0,0,1,0
93178,Путаница И ПаниКА,Ташкент,1,1,1,0,0,0,0,1,0,0,1,0,0
55486,Два слова на букву К,Мёрфельден-Вальдорф,1,1,1,1,0,0,0,1,0,0,0,1,1
48869,"Пара по 2,5",Лондон,1,0,1,0,0,1,0,0,0,0,1,1,0
48062,Уже да,Санкт-Петербург,1,0,0,1,0,0,1,0,1,0,1,0,0
216,Инк,Пало-Альто,1,0,1,1,0,0,0,1,0,0,1,0,0
95577,Хви-ай-пи,сборная,1,1,1,0,0,0,0,0,0,0,0,1,0
83800,МАНЬЕРИЗМ,Минск,1,0,0,1,0,0,0,1,1,0,0,1,0
77174,Polish Space Marines,Краков,1,0,0,1,0,0,0,1,0,0,1,0,0
48115,Children of Bodun,Тула,1,0,0,0,1,0,0,1,0,0,0,1,0
7864,Одушевлённые аэросани,Минск,1,0,0,1,0,0,0,1,0,0,1,0,0
6790,Тёмный лес,Мюнхен,1,0,0,1,1,0,0,0,0,0,1,0,0
1733,Кузибота,Нью-Йорк,1,0,0,1,1,1,0,0,0,0,0,1,0
95743,Степной котик,Астана,1,0,1,1,0,0,0,0,0,0,1,0,0
93400,Сборная,сборная,1,0,0,1,0,0,1,1,0,0,0,1,0
92675,Метасеквоя,Минск,1,1,0,0,1,0,0,0,1,0,0,0,0
90964,sample text,Варшава,1,0,0,1,0,0,0,0,0,0,1,1,0
86754,Хы,Мюнхен,1,0,0,1,0,0,1,1,0,0,1,0,0
86108,Mafia,Краков,1,0,1,0,0,0,0,0,0,0,1,0,0
85037,Странные агенты,Берлин,1,0,1,0,1,0,0,0,0,0,1,0,0
